ID,State,State_Name,Location_Name,Postcode,TourismRegion_Name,DNSW Classification,DNSW Classification + Regional NSW (SA4),SA2_Name,SA3_Name,SA4_Name,LGA_Name,SD_Name,SLA_Name
1,1,New South Wales,Aarons Pass NSW,2850,Central NSW,Regional NSW,Central West,Mudgee Region - East,Lithgow - Mudgee,Central West,Mid-Western Regional (A),Central West,Mid-Western Regional (A) - Pt B
2,1,New South Wales,Abbey Green NSW,2330,Hunter,Hunter,Hunter,Singleton Region,Lower Hunter,Hunter Valley exc Newcastle,Singleton (A),Hunter,Singleton (A)
3,1,New South Wales,Abbotsbury NSW,2176,Sydney,Sydney - South West,Sydney - South West,Bossley Park - Abbotsbury,Fairfield,Sydney - South West,Fairfield (C),Sydney,Fairfield (C) - West
4,1,New South Wales,Abbotsford NSW,2046,Sydney,Sydney - Inner West,Sydney - Inner West,Five Dock - Abbotsford,Canada Bay,Sydney - Inner West,Canada Bay (A),Sydney,Canada Bay (A) - Drummoyne
5,1,New South Wales,Abbotsford Point NSW,2046,Sydney,Sydney - Inner West,Sydney - Inner West,Five Dock - Abbotsford,Canada Bay,Sydney - Inner West,Canada Bay (A),Sydney,Canada Bay (A) - Drummoyne
6,1,New South Wales,Abedoar NSW,2406,New England North West,Regional NSW,New England and North West,Moree Region,Moree - Narrabri,New England and North West,Moree Plains (A),Northern,Moree Plains (A)
7,1,New South Wales,Aberbaldie NSW,2354,New England North West,Regional NSW,New England and North West,Walcha,Armidale,New England and North West,Walcha (A),Northern,Walcha (A)
8,1,New South Wales,Abercrombie Caves NSW,2795,Central NSW,Regional NSW,Central West,Bathurst Region,Bathurst,Central West,Bathurst Regional (A),Central West,Bathurst Regional (A) - Pt B
9,1,New South Wales,Abercrombie NSW,2795,Central NSW,Regional NSW,Central West,Bathurst Region,Bathurst,Central West,Bathurst Regional (A),Central West,Bathurst Regional (A) - Pt B
10,1,New South Wales,Aberdare NSW,2325,Hunter,Hunter,Hunter,Cessnock,Lower Hunter,Hunter Valley exc Newcastle,Cessnock (C),Hunter,Cessnock (C)
11,1,New South Wales,Aberdare West NSW,2334,Hunter,Hunter,Hunter,Branxton - Greta - Pokolbin,Lower Hunter,Hunter Valley exc Newcastle,Cessnock (C),Hunter,Cessnock (C)
